Geoname ID;Name;ASCII Name;Country Code;Coordinates
763401;Odrzykoñ;Odrzykon;PL;49.74057, 21.74074
763454;Obryte;Obryte;PL;52.71633, 21.24945
763585;Nowosielce-Gniewosz;Nowosielce-Gniewosz;PL;49.56842, 22.06947
763945;Niemce;Niemce;PL;51.36155, 22.63939
764572;Mniszków;Mniszkow;PL;51.37017, 20.03915
765747;£ukowa;Lukowa;PL;50.093, 20.97548
768002;Kosów Lacki;Kosow Lacki;PL;52.59541, 22.14707
768163;Koprzywnica;Koprzywnica;PL;50.5934, 21.5838
768827;Ko³aczyce;Kolaczyce;PL;49.80743, 21.43407
768861;Kock;Kock;PL;51.63997, 22.44391
769092;Kleszczele;Kleszczele;PL;52.57314, 23.32539
769364;Kawêczyn Nowy;Kaweczyn Nowy;PL;51.88597, 20.24703
770034;Jod³ówka;Jodlowka;PL;49.8943, 22.46653
770269;Jastrzêbia;Jastrzebia;PL;51.49742, 21.23709
770706;Jab³onna;Jablonna;PL;52.37885, 20.91745
770911;Husów;Husow;PL;49.97971, 22.28645
771401;Grodzisk Mazowiecki;Grodzisk Mazowiecki;PL;52.10387, 20.6337
773797;Czermin;Czermin;PL;50.33911, 21.33356
775138;BrzeŸnica;Brzeznica;PL;49.95763, 20.49139
775840;Blizne;Blizne;PL;49.75332, 21.97351
3080007;¯órawina;Zorawina;PL;50.9808, 17.03671
3080368;Zebrzydowice;Zebrzydowice;PL;49.89032, 19.67291
3080696;Zapolice;Zapolice;PL;51.54319, 18.88335
3080931;Zagórnik;Zagornik;PL;49.8371, 19.37868
3081496;Wolbórz;Wolborz;PL;51.50196, 19.83049
3081826;Witkowo;Witkowo;PL;52.43964, 17.77264
3081832;Witkowice;Witkowice;PL;49.90746, 19.27963
3083725;Szemud;Szemud;PL;54.48709, 18.2228
3084353;Strzy¿owice;Strzyzowice;PL;50.38725, 19.08038
3084440;Strzegom;Strzegom;PL;50.96264, 16.35006
3084516;Stronie;Stronie;PL;49.83056, 19.67497
3085771;Skomlin;Skomlin;PL;51.17089, 18.38699
3085802;Skêpe;Skepe;PL;52.86798, 19.35604
3086001;Sieniawa;Sieniawa;PL;49.53947, 19.93014
3086469;Rzeczenica;Rzeczenica;PL;53.7579, 17.10752
3087203;Reñska Wieœ;Renska Wies;PL;50.31587, 18.12607
3087256;Rêdziny;Redziny;PL;50.85922, 19.2162
3087520;Radocza;Radocza;PL;49.91774, 19.47498
3087906;Przodkowo;Przodkowo;PL;54.37991, 18.2876
3087954;Przemków;Przemkow;PL;51.5253, 15.79441
3089286;Pe³czyce;Pelczyce;PL;53.04354, 15.30447
3089421;Parzêczew;Parzeczew;PL;51.94855, 19.20608
3089681;Ostrowy nad Oksz¹;Ostrowy nad Oksza;PL;50.97799, 19.05355
3089965;Orzesze;Orzesze;PL;50.15595, 18.77923
3090007;Orle;Orle;PL;54.64022, 18.17057
3090048;Opole;Opole;PL;50.67211, 17.92533
3090105;Olszówka;Olszowka;PL;52.1903, 18.86258
3092816;Lubrza;Lubrza;PL;52.30418, 15.44317
