Name;ASCII Name;Country Code;Population;Coordinates
Warszawa;Warsaw;PL;1702139;52.22977, 21.01178
Łódź;Lodz;PL;768755;51.77058, 19.47395
Kraków;Krakow;PL;755050;50.06143, 19.93658
Wrocław;Wroclaw;PL;634893;51.1, 17.03333
Poznań;Poznan;PL;570352;52.40692, 16.92993
Gdańsk;Gdansk;PL;461865;54.35227, 18.64912
Szczecin;Szczecin;PL;407811;53.42894, 14.55302
Bydgoszcz;Bydgoszcz;PL;366452;53.1235, 18.00762
Lublin;Lublin;PL;360044;51.25, 22.56667
Katowice;Katowice;PL;317316;50.25841, 19.02754
Białystok;Bialystok;PL;291855;53.13333, 23.16433
Częstochowa;Czestochowa;PL;248125;50.79646, 19.12409
Gdynia;Gdynia;PL;244969;54.51889, 18.53188
Sosnowiec;Sosnowiec;PL;227295;50.28682, 19.10385
Radom;Radom;PL;226794;51.40253, 21.14714
Mokotów;Mokotow;PL;217683;52.1934, 21.03487
Kielce;Kielce;PL;208598;50.87033, 20.62752
Gliwice;Gliwice;PL;198835;50.29761, 18.67658
Toruń;Torun;PL;198613;53.01375, 18.59814
Zabrze;Zabrze;PL;192177;50.32492, 18.78576
Bytom;Bytom;PL;189186;50.34802, 18.93282
Praga Południe;Praga Poludnie;PL;179836;52.24424, 21.08545
Bielsko-Biala;Bielsko-Biala;PL;176515;49.82245, 19.04686
Olsztyn;Olsztyn;PL;171803;53.77995, 20.49416
Rzeszów;Rzeszow;PL;158382;50.04132, 21.99901
Ursynów;Ursynow;PL;150668;52.15051, 21.05041
Ruda Śląska;Ruda Slaska;PL;146189;50.2584, 18.85632
Rybnik;Rybnik;PL;142510;50.09713, 18.54179
Wola;Wola;PL;140958;52.2401, 20.98869
Bielany;Bielany;PL;134854;52.29242, 20.93531
Śródmieście;Srodmiescie;PL;134306;52.22904, 21.01644
Tychy;Tychy;PL;130000;50.13717, 18.96641
Białołeka;Bialoleka;PL;129106;52.32127, 20.97204
Opole;Opole;PL;127676;50.67211, 17.92533
Elbląg;Elblag;PL;127558;54.1522, 19.40884
Płock;Plock;PL;127474;52.54682, 19.70638
Wałbrzych;Walbrzych;PL;127431;50.77141, 16.28432
Gorzów Wielkopolski;Gorzow Wielkopolski;PL;124430;52.73679, 15.22878
Targówek;Targowek;PL;124279;52.29185, 21.04845
Włocławek;Wloclawek;PL;120339;52.64817, 19.0678
Zielona Góra;Zielona Gora;PL;118433;51.93548, 15.50643
Dąbrowa Górnicza;Dabrowa Gornicza;PL;118285;50.33394, 19.20479
Tarnów;Tarnow;PL;117799;50.01381, 20.98698
Chorzów;Chorzow;PL;113430;50.30582, 18.9742
Kalisz;Kalisz;PL;108759;51.76109, 18.09102
Koszalin;Koszalin;PL;107450;54.19438, 16.17222
Legnica;Legnica;PL;106033;51.21006, 16.1619
Bemowo;Bemowo;PL;102393;52.2546, 20.90844
Słupsk;Slupsk;PL;98608;54.46405, 17.02872
Jaworzno;Jaworzno;PL;96541;50.20528, 19.27498
Jastrzębie Zdrój;Jastrzebie Zdroj;PL;95813;49.95542, 18.57479
Grudziądz;Grudziadz;PL;95045;53.48411, 18.75366
Praga Północ;Praga Polnoc;PL;93192;52.25443, 21.03472
Ochota;Ochota;PL;93192;52.22096, 20.98526
Jelenia Góra;Jelenia Gora;PL;87310;50.89973, 15.72899
Nowy Sącz;Nowy Sacz;PL;84376;49.62177, 20.69705
Konin;Konin;PL;81258;52.22338, 18.25121
Piotrków Trybunalski;Piotrkow Trybunalski;PL;80128;51.40547, 19.70321
Inowrocław;Inowroclaw;PL;77597;52.79886, 18.26387
Lubin;Lubin;PL;77532;51.40089, 16.20149
Wawer;Wawer;PL;77205;52.19656, 21.17752
Siedlce;Siedlce;PL;77185;52.16772, 22.29006
Piła;Pila;PL;75532;53.15145, 16.73782
Mysłowice;Myslowice;PL;74586;50.20745, 19.16668
Ostrowiec Świętokrzyski;Ostrowiec Swietokrzyski;PL;73989;50.92936, 21.38525
Siemianowice Śląskie;Siemianowice Slaskie;PL;73121;50.32738, 19.02901
Ostrów Wielkopolski;Ostrow Wielkopolski;PL;72898;51.65501, 17.80686
Stargard;Stargard;PL;71224;53.33672, 15.0499
Pabianice;Pabianice;PL;70542;51.66446, 19.35473
Gniezno;Gniezno;PL;70269;52.53481, 17.58259
Fordon;Fordon;PL;70000;53.14821, 18.17036
Suwałki;Suwalki;PL;69222;54.11175, 22.93087
Głogów;Glogow;PL;67317;51.66361, 16.0845
Tomaszów Mazowiecki;Tomaszow Mazowiecki;PL;67197;51.53131, 20.00855
Przemyśl;Przemysl;PL;67013;49.78498, 22.76728
Stalowa Wola;Stalowa Wola;PL;66495;50.58286, 22.05334
Zamość;Zamosc;PL;66034;50.72314, 23.25196
Kędzierzyn-Koźle;Kedzierzyn-Kozle;PL;65636;50.34984, 18.22606
Chełm;Chelm;PL;63949;51.14312, 23.4716
